Release Year,IMDb Title Rating,IMDb Title Number Of Votes,Runtime (Minutes),Country Code,Season Number,Episode Number,Successful Flag
1982,8.5,11,25.0,SE,1.0,22.0,No
1982,8.5,13,25.0,SE,1.0,7.0,No
1982,8.6,11,20.0,SE,1.0,12.0,No
1982,8.6,10,25.0,SE,1.0,14.0,No
1982,8.6,11,25.0,SE,1.0,17.0,No
1982,8.7,15,25.0,SE,1.0,5.0,No
1982,8.8,13,25.0,SE,1.0,16.0,No
1983,,,25.0,SE,1.0,2.0,No
1983,,,25.0,SE,1.0,3.0,No
1983,,,25.0,SE,1.0,4.0,No
1983,,,25.0,SE,1.0,5.0,No
1983,,,25.0,SE,1.0,6.0,No
1983,,,25.0,SE,1.0,7.0,No
1983,,,25.0,SE,1.0,8.0,No
1983,,,25.0,SE,1.0,9.0,No
1983,,,25.0,SE,1.0,10.0,No
1983,,,25.0,SE,1.0,11.0,No
1983,,,25.0,SE,1.0,12.0,No
1983,,,25.0,SE,1.0,13.0,No
1983,,,25.0,SE,1.0,14.0,No
1983,,,25.0,SE,1.0,15.0,No
1983,,,25.0,SE,1.0,16.0,No
1983,,,25.0,SE,1.0,17.0,No
1983,,,25.0,SE,1.0,18.0,No
1983,,,25.0,SE,1.0,19.0,No
1983,,,25.0,SE,1.0,20.0,No
1983,,,25.0,SE,1.0,21.0,No
1983,,,25.0,SE,1.0,22.0,No
1983,,,25.0,SE,1.0,23.0,No
1983,,,25.0,SE,1.0,24.0,No
1984,,,50.0,SE,1.0,1.0,No
1984,,,50.0,SE,1.0,2.0,No
1984,,,50.0,SE,1.0,3.0,No
1984,,,50.0,SE,1.0,4.0,No
1999,,,29.0,SE,2.0,12.0,No
2012,,,30.0,SE,1.0,1.0,No
2012,,,30.0,SE,1.0,2.0,No
2012,,,30.0,SE,1.0,3.0,No
2012,,,30.0,SE,1.0,4.0,No
2012,,,30.0,SE,1.0,5.0,No
2012,,,30.0,SE,1.0,6.0,No
2012,,,30.0,SE,1.0,7.0,No
2012,7.2,157,59.0,SE,1.0,3.0,Yes
2012,7.4,169,59.0,SE,1.0,2.0,Yes
2012,7.4,144,59.0,SE,1.0,4.0,Yes
2012,7.4,144,59.0,SE,1.0,7.0,Yes
2012,7.5,214,59.0,SE,1.0,1.0,Yes
2012,7.5,148,59.0,SE,1.0,6.0,Yes
2012,7.5,132,59.0,SE,1.0,10.0,Yes
2012,7.5,138,59.0,SE,1.0,9.0,Yes
2012,7.6,142,59.0,SE,1.0,8.0,Yes
2012,8.4,105,58.0,SE,1.0,1.0,Yes
2012,8.9,12,22.0,SE,1.0,1.0,No
2013,6.0,833,99.0,SE,3.0,1.0,No
2022,6.4,109,45.0,SE,8.0,5.0,No
2022,6.5,104,44.0,SE,8.0,6.0,No
2022,6.8,12,27.0,SE,1.0,5.0,No
2022,6.8,11,32.0,SE,1.0,4.0,No
2022,7.0,12,32.0,SE,1.0,7.0,No
2022,7.0,13,34.0,SE,1.0,8.0,No
2022,7.1,11,32.0,SE,1.0,3.0,No
2014,6.6,5,24.0,SE,2.0,1.0,No
2023,,,9.0,SE,,,No
2023,6.4,71,44.0,SE,1.0,1.0,No
2023,6.7,63,42.0,SE,1.0,3.0,No
2023,,,44.0,SE,2.0,6.0,No
2023,,,46.0,SE,2.0,5.0,No
1987,,,23.0,SE,1.0,2.0,No
1987,,,26.0,SE,1.0,4.0,No
1987,,,27.0,SE,1.0,3.0,No
1987,,,28.0,SE,1.0,1.0,No
1987,,,28.0,SE,1.0,5.0,No
1989,,,50.0,SE,1.0,1.0,No
1989,,,50.0,SE,1.0,2.0,No
1989,,,50.0,SE,1.0,3.0,No
1989,,,50.0,SE,1.0,4.0,No
1990,,,50.0,SE,1.0,5.0,No
1990,,,50.0,SE,1.0,6.0,No
1990,,,50.0,SE,1.0,7.0,No
1990,,,50.0,SE,1.0,8.0,No
1990,,,50.0,SE,2.0,1.0,No
1993,,,15.0,SE,1.0,8.0,No
1993,,,15.0,SE,1.0,16.0,No
1993,,,15.0,SE,1.0,17.0,No
1993,,,15.0,SE,1.0,18.0,No
1993,,,15.0,SE,1.0,19.0,No
1993,,,15.0,SE,1.0,20.0,No
1993,,,15.0,SE,1.0,21.0,No
1993,,,15.0,SE,1.0,22.0,No
1993,,,15.0,SE,1.0,23.0,No
1993,6.8,5,15.0,SE,1.0,10.0,No
1993,7.4,5,15.0,SE,1.0,9.0,No
1993,7.5,6,15.0,SE,1.0,11.0,No
1993,7.6,7,15.0,SE,1.0,4.0,No
1993,7.7,7,15.0,SE,1.0,2.0,No
1993,7.7,7,15.0,SE,1.0,3.0,No
1993,7.8,5,15.0,SE,1.0,12.0,No
1993,7.8,5,15.0,SE,1.0,14.0,No
1993,8.0,5,15.0,SE,1.0,13.0,No
1993,8.0,7,15.0,SE,1.0,7.0,No
1996,,,50.0,SE,3.0,1.0,No
2005,,,20.0,SE,1.0,6.0,No
2005,,,20.0,SE,1.0,9.0,No
2012,,,15.0,SE,1.0,2.0,No
2012,,,15.0,SE,1.0,3.0,No
2012,,,15.0,SE,1.0,6.0,No
2012,,,15.0,SE,1.0,7.0,No
2012,,,15.0,SE,1.0,8.0,No
2012,5.8,6,15.0,SE,1.0,1.0,No
2013,,,,SE,1.0,4.0,No
2013,,,,SE,1.0,5.0,No
2013,,,58.0,SE,1.0,3.0,No
2013,,,120.0,SE,1.0,6.0,No
2013,,,30.0,SE,2.0,1.0,No
2013,5.9,227,88.0,SE,4.0,1.0,No
2013,6.6,713,90.0,SE,3.0,2.0,No
2013,8.0,1125,57.0,SE,2.0,1.0,Yes
